Timestamp           | Level    | Location                             | Message
--------------------+----------+--------------------------------------+---------------------------------------------------
2025-06-03 14:46:33 | INFO     | [logger_...:setup_logger      : 153] | ℹ️ Logger 'ImgClassPipe' initialized. Log file: C:\Users\Stefan\Documents\GitHub\UBB-Y3-AI-Research\model_src\experiments\CCSN\pvit\20250603_144633_seed42\experiment_run_20250603_144633_seed42.log
2025-06-03 14:46:33 | INFO     | [executor  :__init__          : 101] | ℹ️ --- Starting Experiment Run (ID: 20250603_144633_seed42) ---
2025-06-03 14:46:33 | INFO     | [executor  :__init__          : 102] | ℹ️ Executor initialized for model 'pvit' on dataset 'CCSN'
2025-06-03 14:46:33 | INFO     | [executor  :__init__          : 105] | ℹ️ Local artifact storage base: C:\Users\Stefan\Documents\GitHub\UBB-Y3-AI-Research\model_src
2025-06-03 14:46:33 | INFO     | [executor  :__init__          : 109] | ℹ️ Base key/prefix for this run's artifacts: experiments/CCSN/pvit/20250603_144633_seed42
2025-06-03 14:46:33 | INFO     | [executor  :__init__          : 111] | ℹ️ Local log file for this run (might be temporary): C:\Users\Stefan\Documents\GitHub\UBB-Y3-AI-Research\model_src\experiments\CCSN\pvit\20250603_144633_seed42\experiment_run_20250603_144633_seed42.log
2025-06-03 14:46:33 | INFO     | [pipeline  :__init__          : 174] | ℹ️ Initializing Classification Pipeline:
2025-06-03 14:46:33 | INFO     | [pipeline  :__init__          : 175] | ℹ️   Dataset Path: C:\Users\Stefan\Documents\GitHub\UBB-Y3-AI-Research\model_src\data\CCSN
2025-06-03 14:46:33 | INFO     | [pipeline  :__init__          : 176] | ℹ️   Model Type: pvit
2025-06-03 14:46:33 | INFO     | [pipeline  :__init__          : 179] | ℹ️   Artifact base key prefix for this run: experiments/CCSN/pvit/20250603_144633_seed42 (using LocalFileSystemRepository)
2025-06-03 14:46:33 | INFO     | [pipeline  :__init__          : 183] | ℹ️   Default Augmentation Strategy: AugmentationStrategy.CCSN_MODERATE
2025-06-03 14:46:33 | INFO     | [pipeline  :__init__          : 184] | ℹ️   Default Show First Batch Aug: True
2025-06-03 14:46:33 | INFO     | [dataset...:__init__          : 271] | ℹ️ Using augmentation strategy: AugmentationStrategy.CCSN_MODERATE
2025-06-03 14:46:33 | INFO     | [dataset...:__init__          : 296] | ℹ️ Detected dataset structure: flat
2025-06-03 14:46:33 | INFO     | [dataset...:_load_paths_and...: 424] | ℹ️ Scanning FLAT dataset from C:\Users\Stefan\Documents\GitHub\UBB-Y3-AI-Research\model_src\data\CCSN...
